name,prefix,suffix,long,lat,level,id,tinh_id
Huyện Tân Yên,Huyện,Tân Yên,106.127,21.3873,2,1811,19
Huyện Ngân Sơn,Huyện,Ngân Sơn,105.997,22.4311,2,1812,20
Thị xã Từ Sơn,Thị xã,Từ Sơn,105.955,21.1154,2,1813,21
Huyện Mỏ Cày Nam,Huyện,Mỏ Cày Nam,106.333,10.1288,2,1814,22
Huyện Phú Giáo,Huyện,Phú Giáo,106.794,11.2895,2,1815,23
Huyện Phù Mỹ,Huyện,Phù Mỹ,109.05,14.1716,2,1816,24
Huyện Lộc Ninh,Huyện,Lộc Ninh,106.591,11.8464,2,1817,25
Huyện Phú Quý,Huyện,Phú Quý,108.94,10.5475,2,1818,26
Huyện Thới Bình,Huyện,Thới Bình,105.09,9.34736,2,1819,27
Huyện Nguyên Bình,Huyện,Nguyên Bình,105.96,22.65,2,1820,28
Huyện Ea Kar,Huyện,Ea Kar,108.449,12.8091,2,1821,29
Huyện Đắk Song,Huyện,Đắk Song,107.61,12.255,2,1822,30
Huyện Điện Biên Đông,Huyện,Điện Biên Đông,103.219,21.2958,2,1823,31
Huyện Tân Phú,Huyện,Tân Phú,107.437,11.2708,2,1824,32
Huyện Lấp Vò,Huyện,Lấp Vò,105.521,10.3615,2,1825,33
Huyện Ia Grai,Huyện,Ia Grai,107.844,13.9619,2,1826,34
Huyện Quang Bình,Huyện,Quang Bình,104.579,22.4093,2,1827,35
Huyện Hương Sơn,Huyện,Hương Sơn,105.424,18.5118,2,1829,37
Huyện Kim Thành,Huyện,Kim Thành,106.511,20.9634,2,1830,38
Huyện Vị Thủy,Huyện,Vị Thủy,105.534,9.75108,2,1831,39
Huyện Lương Sơn,Huyện,Lương Sơn,105.526,20.8711,2,1832,40
Huyện Tiên Lữ,Huyện,Tiên Lữ,106.118,20.7001,2,1833,41
Huyện Khánh Vĩnh,Huyện,Khánh Vĩnh,108.907,12.281,2,1834,42
Huyện Gò Quao,Huyện,Gò Quao,105.277,9.7278,2,1835,43
Huyện Ngọc Hồi,Huyện,Ngọc Hồi,107.687,14.7057,2,1836,44
Huyện Than Uyên,Huyện,Than Uyên,103.883,21.9513,2,1837,45
Huyện Lạc Dương,Huyện,Lạc Dương,108.42,12.01,2,1838,46
Huyện Lộc Bình,Huyện,Lộc Bình,106.92,21.7614,2,1839,47
Thị xã Sa Pa,Thị xã,Sa Pa,103.845,22.337,2,1840,48
Huyện Mộc Hóa,Huyện,Mộc Hóa,106.005643,10.690469,2,1841,49
Huyện Trực Ninh,Huyện,Trực Ninh,106.266,20.3205,2,1842,50
Huyện Diễn Châu,Huyện,Diễn Châu,105.6,18.9773,2,1843,51
Huyện Yên Khánh,Huyện,Yên Khánh,106.064,20.1813,2,1844,52
Huyện Thuận Nam,Huyện,Thuận Nam,108.904,11.415,2,1845,53
Huyện Phù Ninh,Huyện,Phù Ninh,105.313,21.4071,2,1846,54
Huyện Sơn Hòa,Huyện,Sơn Hòa,108.975,13.0501,2,1847,55
Huyện Quảng Trạch,Huyện,Quảng Trạch,106.436059,17.858105,2,1848,56
Huyện Đại Lộc,Huyện,Đại Lộc,108.114,15.8828,2,1849,57
Huyện Nghĩa Hành,Huyện,Nghĩa Hành,108.777,15.0462,2,1850,58
Huyện Ba Chẽ,Huyện,Ba Chẽ,107.283,21.2738,2,1851,59
Huyện Đa Krông,Huyện,Đa Krông,106.884,16.6869,2,1852,60
Huyện Mỹ Tú,Huyện,Mỹ Tú,105.813,9.63537,2,1853,61
Huyện Quỳnh Nhai,Huyện,Quỳnh Nhai,103.623318,21.658478,2,1854,62
Huyện Tân Biên,Huyện,Tân Biên,106.005,11.5432,2,1855,63
Huyện Tiền Hải,Huyện,Tiền Hải,106.504,20.4053,2,1856,64
Huyện Phú Bình,Huyện,Phú Bình,105.979,21.4603,2,1857,65
Huyện Hà Trung,Huyện,Hà Trung,105.845,19.989,2,1858,66
Huyện Phú Lộc,Huyện,Phú Lộc,107.861,16.2789,2,1859,67
Huyện Gò Công Đông,Huyện,Gò Công Đông,106.716,10.3171,2,1860,68
Huyện Tiểu Cần,Huyện,Tiểu Cần,106.19,9.81371,2,1861,69
Huyện Lâm Bình,Huyện,Lâm Bình,105.197,22.358,2,1862,70
Huyện Trà Ôn,Huyện,Trà Ôn,105.921,9.96467,2,1863,71
Huyện Vĩnh Tường,Huyện,Vĩnh Tường,105.514,21.2169,2,1864,72
Huyện Văn Chấn,Huyện,Văn Chấn,104.587,21.5644,2,1865,73
Quận Đống Đa,Quận,Đống Đa,105.828788,21.016354,2,2059,11
Quận 8,Quận,8,106.666015,10.740566,2,2060,12
Huyện An Dương,Huyện,An Dương,106.613951,20.862173,2,2061,13
Huyện Hoàng Sa,Huyện,Hoàng Sa,111.633,16.4679,2,2062,14
Huyện Vĩnh Thạnh,Huyện,Vĩnh Thạnh,105.415181,10.25005,2,2063,15
Huyện Phú Tân,Huyện,Phú Tân,105.357,10.5838,2,2064,16
Huyện Xuyên Mộc,Huyện,Xuyên Mộc,107.399,10.535,2,2065,17
Huyện Việt Yên,Huyện,Việt Yên,106.101,21.2733,2,2067,19
Huyện Pác Nặm,Huyện,Pác Nặm,105.672,22.6028,2,2068,20
Huyện Yên Phong,Huyện,Yên Phong,105.953,21.1969,2,2069,21
Huyện Thạnh Phú,Huyện,Thạnh Phú,106.517,9.94851,2,2070,22
Huyện Bàu Bàng,Huyện,Bàu Bàng,106.637552,11.242586,2,2071,23
Huyện Tây Sơn,Huyện,Tây Sơn,108.919,13.9092,2,2072,24
Huyện Đồng Phú,Huyện,Đồng Phú,106.87,11.4479,2,2073,25
